uid,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
6042,Acacia,-4.5374288,39.139728,1,27.39999962,9,64.69999695,160.1000061,34.5,20.60000038,13.89999962,28.39999962,28.89999962,29.29999924,25.39999962,1143,218,27,63.90000153,539,142,174,192,74,0.6147339,133.05743,0.69948393,5.2279015
5988,Eucalyptus,-4.5224921,39.1836801,1,27.60000038,8.800000191,64.59999847,159.8000031,34.59999847,20.89999962,13.69999981,28.60000038,29,29.5,25.60000038,1116,235,24,66.90000153,529,128,154,191,34,0.16611631,142.69472,0.70507216,10.077397
5985,Eucalyptus,-4.5224869,39.1836769,1,27.60000038,8.800000191,64.59999847,159.8000031,34.59999847,20.89999962,13.69999981,28.60000038,29,29.5,25.60000038,1116,235,24,66.90000153,529,128,154,191,34,0.16611631,142.69472,0.70507216,10.077397
5982,Eucalyptus,-4.5224796,39.1836572,1,27.60000038,8.800000191,64.59999847,159.8000031,34.59999847,20.89999962,13.69999981,28.60000038,29,29.5,25.60000038,1116,235,24,66.90000153,529,128,154,191,34,0.16611631,142.69472,0.70507216,10.077397
5932,Eucalyptus,-4.4722812,39.1899285,1,27.20000076,8.899999619,65.19999695,160.1000061,34.20000076,20.5,13.69999981,28.20000076,28.60000038,29,25.10000038,1163,237,26,67.80000305,559,137,166,190,96,0.9501774,176.26205,0.69819516,5.485536
5806,Musa,-4.3089696,39.4565392,1,26.70000076,8,63.90000153,155.3999939,33.09999847,20.60000038,12.5,26.20000076,28,28.5,24.70000076,1249,283,21,73.40000153,618,126,132,227,133,0.799387,81.0508,0.70123225,5.3706846
5771,Musa,-4.2955492,39.4398417,1,26.20000076,7.800000191,64.30000305,150.6000061,32.40000153,20.29999924,12.10000038,25.79999924,27.39999962,27.89999962,24.20000076,1224,262,19,68.30000305,580,131,132,227,189,2.2646062,263.89554,0.72409874,3.9234524
5763,Eucalyptus,-4.2955415,39.4398358,1,26.20000076,7.800000191,64.30000305,150.6000061,32.40000153,20.29999924,12.10000038,25.79999924,27.39999962,27.89999962,24.20000076,1224,262,19,68.30000305,580,131,132,227,189,2.2646062,263.89554,0.72409874,3.9234524
5772,Musa,-4.2954878,39.4423249,1,26,7.900000095,64,152.1000061,32.29999924,20,12.30000019,25.60000038,27.29999924,27.70000076,24.10000038,1248,265,22,67.80000305,588,141,144,223,227,1.1682981,140.49965,0.6926088,4.5856876
5694,Musa,-4.0765856,39.4119583,1,26,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
5712,Musa,-4.0765548,39.4119787,1,26,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
5696,Eucalyptus,-4.076513,39.4119863,1,26,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
5699,Musa,-4.0765105,39.4119801,1,26,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
5705,Musa,-4.0764864,39.4119135,1,26,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
5695,Musa,-4.076391,39.4121397,1,26,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
5665,Acacia,-4.0006126,39.3975862,1,26.29999924,8.800000191,66.09999847,149.8000031,33.20000076,19.89999962,13.30000019,27.60000038,28.10000038,28,24.39999962,870,151,24,51.59999847,345,122,218,157,182,0.5597269,33.576736,0.70844114,5.3216486
5667,Acacia,-4.0006117,39.3975765,1,26.29999924,8.800000191,66.09999847,149.8000031,33.20000076,19.89999962,13.30000019,27.60000038,28.10000038,28,24.39999962,870,151,24,51.59999847,345,122,218,157,182,0.5597269,33.576736,0.70844114,5.3216486
6043,Acacia,-4.000412,39.3985954,1,26.29999924,8.800000191,66.09999847,149.8000031,33.20000076,19.89999962,13.30000019,27.60000038,28.10000038,28,24.39999962,870,151,24,51.59999847,345,122,218,157,182,0.5597269,33.576736,0.70844114,5.3216486
5680,Acacia,-4.0003982,39.3985974,1,26.29999924,8.800000191,66.09999847,149.8000031,33.20000076,19.89999962,13.30000019,27.60000038,28.10000038,28,24.39999962,870,151,24,51.59999847,345,122,218,157,182,0.5597269,33.576736,0.70844114,5.3216486
5652,Acacia,-3.9997049,39.3982666,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
5675,Eucalyptus,-3.9996672,39.3985723,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
5664,Acacia,-3.9996008,39.3985359,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
5656,Acacia,-3.9996008,39.3984232,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
5662,Acacia,-3.9995657,39.3984427,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
5668,Acacia,-3.9995174,39.3984937,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
5666,Acacia,-3.9995141,39.3984949,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
5217,Musa,-3.9912602,39.5944562,1,27.5,8.300000191,65.80000305,147.6000061,34,21.39999962,12.60000038,27.20000076,29.20000076,29.20000076,25.60000038,1217,278,21,72.19999695,590,135,317,209,18,0.4701528,107.31148,0.7019452,8.021778
5208,Musa,-3.991225,39.5944993,1,27.5,8.300000191,65.80000305,147.6000061,34,21.39999962,12.60000038,27.20000076,29.20000076,29.20000076,25.60000038,1217,278,21,72.19999695,590,135,317,209,18,0.4701528,107.31148,0.7019452,8.021778
5196,Musa,-3.9911765,39.594614,1,27.5,8.300000191,65.80000305,147.6000061,34,21.39999962,12.60000038,27.20000076,29.20000076,29.20000076,25.60000038,1217,278,21,72.19999695,590,135,317,209,18,0.4701528,107.31148,0.7019452,8.021778
5186,Musa,-3.9911362,39.5946542,1,27.5,8.300000191,65.80000305,147.6000061,34,21.39999962,12.60000038,27.20000076,29.20000076,29.20000076,25.60000038,1217,278,21,72.19999695,590,135,317,209,18,0.4701528,107.31148,0.7019452,8.021778
