FID,agf,plotID,transect,County,genus,species,dbh,height,canopyd,latitude,longitude,altitude,accuracy,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,EVI,NDWI,RDVI,NDVI_red_edge,mNDVI_red_edge,MSR_red_edge,CI_red_edge,MSI,LSWI,MTCI,IRECI,PSRI,NDVIA,TCARI,MCARI,TVI,SAVI,Temp_mean,Temp_max,Temp_min,Temp_skew,Temp_kurtosis,Elevation_x,Precip_mean,Precip_max,Precip_min,Precip_skew,Precip_kurtosis,Elevation_y,Slope,Aspect,Hill_shade
6042,pasture_agroforestry,31,2,Kwale,Acacia,glandulicarpa,26,600,450,-4.5374288,39.139728,50.772,0.915,2512,1599,530,798,883,1302,2239,2581,2442,2919,3069,0.46887218,1.034917685,-0.014129996,0.909850292,0.191762014,-0.317252229,1.765571914,0.875576037,0.972133758,0.20861173,2.23627685,4.07875895,0.157659669,0.404409857,0.297364895,0.203225806,0.46887218,0.468801684,26.34669846,28.82369332,24.58058178,0.460119475,-0.948309752,73,0.086916352,0.26405539,0.015802011,1.834283527,3.764637836,73,4.732799053,101.2753906,166
5988,pasture_agroforestry,30,2,Kwale,Eucalyptus,robusta 1,65,1160,680,-4.5224921,39.1836801,-1.432,0.793,2724,1758,370.5,651,539,1272,2590,3200,3422,3440,3295,0.727846503,1.858441307,0.113569801,1.973094285,0.404748758,-0.363363363,5.348794063,1.690251572,1.256240822,0.321235521,1.798090041,3.027967258,0.065057915,0.665589288,0.350501931,0.434512579,0.727846503,0.727754638,26.5312194,28.96859219,24.72888802,0.42969574,-0.942560577,30,0.088672479,0.293695975,0.02202335,2.418137277,6.781154991,30,1.313490033,314.910675,183
5985,pasture_agroforestry,30,2,Kwale,Eucalyptus,robusta 1,35,890,390,-4.5224869,39.1836769,-2.642,0.988,2724,1758,370.5,651,539,1272,2590,3200,3422,3440,3295,0.727846503,1.858441307,0.113569801,1.973094285,0.404748758,-0.363363363,5.348794063,1.690251572,1.256240822,0.321235521,1.798090041,3.027967258,0.065057915,0.665589288,0.350501931,0.434512579,0.727846503,0.727754638,26.5312194,28.96859219,24.72888802,0.42969574,-0.942560577,30,0.088672479,0.293695975,0.02202335,2.418137277,6.781154991,30,1.313490033,314.910675,183
5982,pasture_agroforestry,30,2,Kwale,Eucalyptus,robusta 1,24,810,390,-4.5224796,39.1836572,-1.658,0.882,2724,1758,370.5,651,539,1272,2590,3200,3422,3440,3295,0.727846503,1.858441307,0.113569801,1.973094285,0.404748758,-0.363363363,5.348794063,1.690251572,1.256240822,0.321235521,1.798090041,3.027967258,0.065057915,0.665589288,0.350501931,0.434512579,0.727846503,0.727754638,26.5312194,28.96859219,24.72888802,0.42969574,-0.942560577,30,0.088672479,0.293695975,0.02202335,2.418137277,6.781154991,30,1.313490033,314.910675,183
5932,pasture_agroforestry,29,2,Kwale,Eucalyptus,camaldulensis,65,1000,430,-4.4722812,39.1899285,97.522,1.629,2559.5,1728.5,430.5,692,588,1279,2387.5,2860.5,2879,3079.5,2887,0.660801846,1.801525517,0.058747816,1.604573093,0.37011248,-0.333593852,3.896258503,1.250977326,1.124829068,0.249701574,1.604196816,2.832127352,0.065968586,0.5878127,0.313549738,0.40758405,0.660801846,0.660706561,26.5312194,28.96859219,24.72888802,0.42969574,-0.942560577,97,0.088672479,0.293695975,0.02202335,2.418137277,6.781154991,97,3.716074705,90,169
5806,cropland_agroforestry,26,3,Kwale,Musa,acuminata,8,300,300,-4.3089696,39.4565392,87.265,1.703,2293,1472,311.5,479.5,388.5,879.5,2261.5,2782,2890,3093.5,3006.5,0.763001373,2.167114268,0.115184256,2.216498295,0.387223975,-0.445547675,6.438867439,2.285957931,1.26035761,0.325080238,2.814663951,3.971486762,0.034048198,0.696796657,0.445456555,0.429107447,0.763001373,0.762885026,26.39015604,28.73596265,24.42820652,0.237669682,-1.176100612,130,0.100367029,0.392054413,0.022411325,2.941833955,9.432784126,130,5.638989449,260.5639343,198
5771,pasture_agroforestry,25,3,Kwale,Musa,acuminata,25,200,120,-4.2955492,39.4398417,525.275,1.879,2193.5,1204.5,408.5,750,514,1113.5,2827,3351.5,3732,3700.5,3279,0.757889779,2.143475654,0.259640537,2.178283919,0.368356375,-0.326579982,6.260700389,2.351594073,1.701390472,0.512002431,2.858215179,4.034195163,0.037318712,0.691373939,0.442483198,0.411764706,0.757889779,0.757800542,25.96943535,28.42672067,23.95653734,0.238546502,-1.165903952,245,0.096455481,0.333478812,0.023049541,2.635147453,7.977490718,245,11.09239292,245.6166992,212
5763,pasture_agroforestry,25,3,Kwale,Eucalyptus,camaldulensis,40,650,300,-4.2955415,39.4398358,526.249,1.455,2193.5,1204.5,408.5,750,514,1113.5,2827,3351.5,3732,3700.5,3279,0.757889779,2.143475654,0.259640537,2.178283919,0.368356375,-0.326579982,6.260700389,2.351594073,1.701390472,0.512002431,2.858215179,4.034195163,0.037318712,0.691373939,0.442483198,0.411764706,0.757889779,0.757800542,25.96943535,28.42672067,23.95653734,0.238546502,-1.165903952,245,0.096455481,0.333478812,0.023049541,2.635147453,7.977490718,245,11.09239292,245.6166992,212
5772,pasture_agroforestry,25,3,Kwale,Musa,acuminata,10,230,300,-4.2954878,39.4423249,152.298,1.198,2961.5,2188.5,686.5,953.5,1000,1434.5,2773,3241.5,3195,3607.5,3589,0.523241955,1.355858917,0.037927394,1.07168843,0.178476073,-0.347361237,2.195,1.227256884,1.07884518,0.186960156,3.080552359,4.802071346,0.113054454,0.449656868,0.354814281,0.198605786,0.523241955,0.523179597,25.96943535,28.42672067,23.95653734,0.238546502,-1.165903952,239,0.096455481,0.333478812,0.023049541,2.635147453,7.977490718,239,4.142969608,333.3704224,186
5694,cropland_agroforestry,23,3,Kwale,Musa,acuminata,25,250,150,-4.0765856,39.4119583,267.707,3.587,3462,2708,1092,1085.5,1610,1700.5,2593,2956,3003,3183,3240.5,0.301972686,0.778386232,-0.07099768,0.511147747,0.02733726,-0.341210654,0.865217391,0.765951191,0.867417678,0.051654701,9.861878453,16.58563536,0.199768608,0.244171779,0.268376398,-0.018347545,0.301972686,0.301939959,25.66720724,28.09132757,23.59358423,0.184023264,-1.244025413,249,0.093061834,0.278933112,0.025447414,1.769329859,3.013417428,249,5.402180195,59.10024261,166
