,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
0,Acacia,-4.5374288,39.139728,1,27.39999962,9.0,64.69999695,160.1000061,34.5,20.60000038,13.89999962,28.39999962,28.89999962,29.29999924,25.39999962,1143,218,27,63.90000153,539,142,174,192,74,0.6147339,133.05743,0.69948393,5.2279015
15,Acacia,-4.0006126,39.3975862,1,26.29999924,8.800000191,66.09999847,149.8000031,33.20000076,19.89999962,13.30000019,27.60000038,28.10000038,28.0,24.39999962,870,151,24,51.59999847,345,122,218,157,182,0.5597269,33.576736,0.70844114,5.3216486
16,Acacia,-4.0006117,39.3975765,1,26.29999924,8.800000191,66.09999847,149.8000031,33.20000076,19.89999962,13.30000019,27.60000038,28.10000038,28.0,24.39999962,870,151,24,51.59999847,345,122,218,157,182,0.5597269,33.576736,0.70844114,5.3216486
17,Acacia,-4.000412,39.3985954,1,26.29999924,8.800000191,66.09999847,149.8000031,33.20000076,19.89999962,13.30000019,27.60000038,28.10000038,28.0,24.39999962,870,151,24,51.59999847,345,122,218,157,182,0.5597269,33.576736,0.70844114,5.3216486
18,Acacia,-4.0003982,39.3985974,1,26.29999924,8.800000191,66.09999847,149.8000031,33.20000076,19.89999962,13.30000019,27.60000038,28.10000038,28.0,24.39999962,870,151,24,51.59999847,345,122,218,157,182,0.5597269,33.576736,0.70844114,5.3216486
19,Acacia,-3.9997049,39.3982666,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20.0,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
21,Acacia,-3.9996008,39.3985359,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20.0,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
22,Acacia,-3.9996008,39.3984232,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20.0,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
23,Acacia,-3.9995657,39.3984427,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20.0,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
24,Acacia,-3.9995174,39.3984937,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20.0,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
