sn,FID,agf,plotID,transect,County,genus,species,dbh,height,canopyd,latitude,longitude,altitude,accuracy
1,663,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,200,4100,2100,-1.6345484,37.4446068,1853.4,4.88
2,643,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,80,100,100,-1.6345225,37.444575,1837.9,4.84
3,649,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,90,2600,400,-1.6345211,37.4447203,1809.5,4.66
4,665,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,150,3900,1900,-1.6345139,37.444564,1853.4,4.9
5,652,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,30,2000,300,-1.6345059,37.4446974,1809.4,5
6,670,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,120,4200,300,-1.6344953,37.4449624,1636.3,4.74
7,634,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,citriodora,34,2700,300,-1.6344791,37.4447176,1809.2,4
8,635,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,citriodora,120,100,150,-1.6344772,37.4448241,1837.2,4.9
9,660,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,220,4700,2100,-1.6344323,37.4444475,1853.5,4.56
10,636,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,citriodora,110,100,100,-1.6343986,37.4446166,1854.2,4.75
11,655,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,320,4700,2000,-1.6343755,37.4445614,1853.6,4.933
12,662,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,210,4200,850,-1.6343743,37.4445525,1853.4,4.783
13,688,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,theodore,21,2200,320,-1.6343699,37.4445271,1852.6,4.883
14,637,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,citriodora,45,100,100,-1.6343569,37.444916,1863.6,4.85
15,666,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,75,3200,1100,-1.6343556,37.4445861,1865.5,4.5
16,687,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,theodore,30,1700,450,-1.6343221,37.4445334,1865.9,4.816
17,667,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,35,2300,400,-1.6343001,37.444459,1865.6,4.66
18,654,natural_forest_agroforestry,81,4,Makueni,Eucalyptus,globlus,210,3500,1500,-1.6342532,37.4442272,1867.2,4.9
19,5022,natural_forest_agroforestry,0,3,Tana River,Acacia,melifera,42,800,540,-1.5937236,39.1175593,244.942,3.9
20,5004,natural_forest_agroforestry,0,3,Tana River,Acacia,melifera,42,730,380,-1.5935916,39.1174116,238.25,3.9
21,4991,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,35,420,310,-1.5588825,39.2566121,203.351,1.631
22,6046,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,48,800,600,-1.5588389,39.2562564,190.497,3.9
23,4960,natural_forest_agroforestry,1,3,Tana River,Acacia,nilotica,12,260,420,-1.5582842,39.2570199,194.984,1.64
24,4964,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,40,400,600,-1.5582688,39.257217,229.107,1.057
25,4951,natural_forest_agroforestry,1,3,Tana River,Acacia,melifera,24,260,240,-1.5582173,39.2570442,182.201,3.882
26,4948,natural_forest_agroforestry,1,3,Tana River,Acacia,melifera,22,310,290,-1.5582128,39.2570488,182.198,1.752
27,4953,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,300,200,300,-1.5581907,39.257254,86.085,1.526
28,4978,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,40,380,330,-1.558175,39.2568822,223.418,3.9
29,4975,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,45,450,430,-1.5581712,39.2568863,223.452,3.9
30,4972,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,50,350,300,-1.5581674,39.2568897,223.66,3.9
31,4968,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,65,650,600,-1.5581643,39.2568925,223.886,3.9
32,4955,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,60,230,150,-1.5581242,39.2569425,222.561,3.9
33,4981,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,80,350,530,-1.5581114,39.2569573,223.216,3.9
34,4949,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,40,130,180,-1.5581043,39.2571519,206.465,3.9
35,4982,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,35,450,20,-1.5579626,39.2561206,240.793,3.509
36,4976,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,8,250,100,-1.5578354,39.2566578,161.363,2.305
37,4966,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,8,220,100,-1.5577768,39.2565574,198.22,3.074
38,4952,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,5,200,100,-1.5577716,39.2567559,193.467,2.15
39,4969,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,10,380,100,-1.5577259,39.2566779,215.214,3.229
40,4962,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,30,420,25,-1.5576782,39.2563389,187.045,2.243
41,4957,natural_forest_agroforestry,1,3,Tana River,Acacia,tortilis,30,420,80,-1.5575821,39.2566181,164.668,2.202
42,256,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,25,1800,25,-1.546936,37.4679699,1340.4,4.88
43,259,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,12,100,200,-1.546815,37.468125,1838.4,3.6
44,258,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,15,100,100,-1.5467829,37.4679805,1319.3,3.88
45,80,pasture_agroforestry,100,4,Makueni,Acacia,tortilis,15,100,120,-1.5467696,37.4679393,1320,4.58
46,250,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,125,1350,1150,-1.5466296,37.4685368,1308,4.62
47,79,pasture_agroforestry,100,4,Makueni,Acacia,tortilis,16,100,150,-1.5465737,37.4679378,1305.9,4.5
48,252,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,80,1000,1800,-1.5465113,37.4682964,1312.7,4.883
49,254,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,30,1200,200,-1.5465081,37.4681136,1340.6,4.52
50,251,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,120,1300,1200,-1.5464965,37.4684921,1308,4.8
51,253,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,40,1000,1500,-1.5463669,37.4682375,1313,4.72
52,257,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,20,500,500,-1.546325,37.468122,1313.3,4.94
53,249,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,320,1000,800,-1.5463176,37.468158,1313.1,4.68
54,255,pasture_agroforestry,100,4,Makueni,Acacia,xanthophloea,25,900,600,-1.5462954,37.468106,1312.3,4.933
55,729,cropland_agroforestry,99,4,Machakos,Grevillea,robusta,9,100,100,-1.4811412,37.3147859,1830.7,4.26
56,681,cropland_agroforestry,99,4,Machakos,Eucalyptus,robusta,32,520,350,-1.481092,37.3152456,1883.6,4.933
57,686,cropland_agroforestry,99,4,Machakos,Eucalyptus,robusta,25,200,100,-1.4808494,37.3153339,1845.1,4.85
58,679,cropland_agroforestry,99,4,Machakos,Eucalyptus,robusta,15,200,100,-1.4808006,37.3153743,1844.4,4.76
59,685,cropland_agroforestry,99,4,Machakos,Eucalyptus,robusta,15,500,100,-1.4807936,37.314601,1838.3,4.9
60,683,cropland_agroforestry,99,4,Machakos,Eucalyptus,robusta,30,600,100,-1.4806994,37.3143584,1839.9,4.5
61,682,cropland_agroforestry,99,4,Machakos,Eucalyptus,robusta,8,320,210,-1.4806966,37.3153556,1860.3,4.86
62,713,cropland_agroforestry,99,4,Machakos,Grevillea,robusta,50,1000,100,-1.4806805,37.314458,1837.7,4.92
63,684,cropland_agroforestry,99,4,Machakos,Eucalyptus,robusta,15,500,100,-1.4806183,37.3144831,1837.9,4.52
64,712,cropland_agroforestry,99,4,Machakos,Grevillea,robusta,60,700,100,-1.480595,37.3145217,1839.2,4.7
65,714,cropland_agroforestry,99,4,Machakos,Grevillea,robusta,40,700,100,-1.480595,37.314522,1839.2,3.12
66,680,cropland_agroforestry,99,4,Machakos,Eucalyptus,robusta,15,300,100,-1.4804408,37.3153667,1839.7,4.9
67,4899,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,60,600,600,-1.4796856,39.6849644,64.751,3.9
68,4907,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,100,800,900,-1.4796614,39.6848831,101.495,3.9
69,4902,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,80,850,700,-1.4796534,39.6849262,103.672,3.9
70,4932,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,8,320,130,-1.4796025,39.6851778,93.351,2.017
71,4906,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,110,1250,1210,-1.4795437,39.6848078,91.235,0.868
72,4914,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,50,400,400,-1.4792305,39.6845667,104.004,3.9
73,4915,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,28,360,280,-1.4792051,39.6844169,103.771,0.895
74,4919,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,18,210,180,-1.4791932,39.684426,103.795,0.751
75,4921,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,40,230,150,-1.4790641,39.6846602,101.254,3.9
76,4922,natural_forest_agroforestry,2,3,Tana River,Acacia,tortilis,39,410,320,-1.4789709,39.6845911,100.314,1.134
77,6646,pasture_agroforestry,161,2,Narok,Acacia,xanthophloea,80,1200,530,-1.3323291,35.9869987,1514.6,4.96
78,6064,pasture_agroforestry,161,2,Narok,Acacia,mellifera,12,500,100,-1.332244,35.9873816,1518,4.8
79,6075,pasture_agroforestry,161,2,Narok,Acacia,nilotica,15,200,100,-1.3320546,35.9873698,1518.1,4.54
80,6640,pasture_agroforestry,161,2,Narok,Acacia,xanthophloea,90,850,400,-1.3320229,35.9868321,1514.4,4.8
81,6063,pasture_agroforestry,161,2,Narok,Acacia,mellifera,20,210,100,-1.3317379,35.987292,1518.1,4.12
82,6071,pasture_agroforestry,161,2,Narok,Acacia,mellifera,35,250,120,-1.3316612,35.9873658,1517.8,4
