,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
1,Eucalyptus,-4.5224921,39.1836801,1,27.60000038,8.800000191,64.59999847,159.8000031,34.59999847,20.89999962,13.69999981,28.60000038,29.0,29.5,25.60000038,1116,235,24,66.90000153,529,128,154,191,34,0.16611631,142.69472,0.70507216,10.077397
2,Eucalyptus,-4.5224869,39.1836769,1,27.60000038,8.800000191,64.59999847,159.8000031,34.59999847,20.89999962,13.69999981,28.60000038,29.0,29.5,25.60000038,1116,235,24,66.90000153,529,128,154,191,34,0.16611631,142.69472,0.70507216,10.077397
3,Eucalyptus,-4.5224796,39.1836572,1,27.60000038,8.800000191,64.59999847,159.8000031,34.59999847,20.89999962,13.69999981,28.60000038,29.0,29.5,25.60000038,1116,235,24,66.90000153,529,128,154,191,34,0.16611631,142.69472,0.70507216,10.077397
4,Eucalyptus,-4.4722812,39.1899285,1,27.20000076,8.899999619,65.19999695,160.1000061,34.20000076,20.5,13.69999981,28.20000076,28.60000038,29.0,25.10000038,1163,237,26,67.80000305,559,137,166,190,96,0.9501774,176.26205,0.69819516,5.485536
7,Eucalyptus,-4.2955415,39.4398358,1,26.20000076,7.800000191,64.30000305,150.6000061,32.40000153,20.29999924,12.10000038,25.79999924,27.39999962,27.89999962,24.20000076,1224,262,19,68.30000305,580,131,132,227,189,2.2646062,263.89554,0.72409874,3.9234524
11,Eucalyptus,-4.076513,39.4119863,1,26.0,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
20,Eucalyptus,-3.9996672,39.3985723,1,26.39999962,8.800000191,66.19999695,149.8999939,33.29999924,20.0,13.30000019,27.70000076,28.20000076,28.10000038,24.5,861,149,23,50.79999924,338,121,212,157,168,0.5334674,64.0823,0.7049238,8.043851
70,Eucalyptus,-3.9666074,39.7319136,1,27.39999962,7.800000191,64.69999695,141.6000061,33.70000076,21.70000076,12.0,27.20000076,28.89999962,29.10000038,25.60000038,1133,265,20,72.59999847,553,126,288,191,22,0.26351038,42.490192,0.7072417,6.0750294
71,Eucalyptus,-3.9487089,39.6849979,1,27.39999962,8.0,64.40000153,146.5,34.0,21.60000038,12.39999962,27.20000076,29.0,29.20000076,25.60000038,1207,280,21,72.5,589,130,307,213,20,0.6317262,109.40131,0.7000329,5.6060977
72,Eucalyptus,-3.9486934,39.6850327,1,27.39999962,8.0,64.40000153,146.5,34.0,21.60000038,12.39999962,27.20000076,29.0,29.20000076,25.60000038,1207,280,21,72.5,589,130,307,213,20,0.6317262,109.40131,0.7000329,5.6060977
73,Eucalyptus,-3.9486932,39.6850305,1,27.39999962,8.0,64.40000153,146.5,34.0,21.60000038,12.39999962,27.20000076,29.0,29.20000076,25.60000038,1207,280,21,72.5,589,130,307,213,20,0.6317262,109.40131,0.7000329,5.6060977
74,Eucalyptus,-3.9486875,39.6850394,1,27.39999962,8.0,64.40000153,146.5,34.0,21.60000038,12.39999962,27.20000076,29.0,29.20000076,25.60000038,1207,280,21,72.5,589,130,307,213,20,0.6317262,109.40131,0.7000329,5.6060977
75,Eucalyptus,-3.9486673,39.6850066,1,27.39999962,8.0,64.40000153,146.5,34.0,21.60000038,12.39999962,27.20000076,29.0,29.20000076,25.60000038,1207,280,21,72.5,589,130,307,213,20,0.6317262,109.40131,0.7000329,5.6060977
76,Eucalyptus,-3.9486549,39.6851207,1,27.39999962,8.0,64.40000153,146.5,34.0,21.60000038,12.39999962,27.20000076,29.0,29.20000076,25.60000038,1207,280,21,72.5,589,130,307,213,20,0.6317262,109.40131,0.7000329,5.6060977
77,Eucalyptus,-3.9486506,39.6851133,1,27.39999962,8.0,64.40000153,146.5,34.0,21.60000038,12.39999962,27.20000076,29.0,29.20000076,25.60000038,1207,280,21,72.5,589,130,307,213,20,0.6317262,109.40131,0.7000329,5.6060977
78,Eucalyptus,-3.94859,39.6850428,1,27.39999962,8.0,64.40000153,146.5,34.0,21.60000038,12.39999962,27.20000076,29.0,29.20000076,25.60000038,1207,280,21,72.5,589,130,307,213,20,0.6317262,109.40131,0.7000329,5.6060977
79,Eucalyptus,-3.9485897,39.6850444,1,27.39999962,8.0,64.40000153,146.5,34.0,21.60000038,12.39999962,27.20000076,29.0,29.20000076,25.60000038,1207,280,21,72.5,589,130,307,213,20,0.6317262,109.40131,0.7000329,5.6060977
