,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
206,Grevillea,-3.3739473,38.3451192,1,19.29999924,9.100000381,64.80000305,158.1000061,26.89999962,12.80000019,14.10000038,20.10000038,16.89999962,21.10000038,17.29999924,1270,240,11,86.19999695,558,42,382,42,1729,4.9485445,124.44382,0.6445076,3.1397898
214,Grevillea,-3.373624,38.3456243,1,19.29999924,9.100000381,64.80000305,158.1000061,26.89999962,12.80000019,14.10000038,20.10000038,16.89999962,21.10000038,17.29999924,1270,240,11,86.19999695,558,42,382,42,1729,4.9485445,124.44382,0.6445076,3.1397898
311,Grevillea,-2.979615,37.56998,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
312,Grevillea,-2.9788536,37.5691399,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
313,Grevillea,-2.9786538,37.569202,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
314,Grevillea,-2.9782403,37.5700817,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
315,Grevillea,-2.9781652,37.5701666,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
316,Grevillea,-2.9773506,37.5693575,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
317,Grevillea,-2.9772766,37.5692055,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
318,Grevillea,-2.9771993,37.5691213,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
319,Grevillea,-2.9770845,37.5696781,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
320,Grevillea,-2.9770036,37.5697929,1,20.89999962,11.5,71.0,149.1999969,29.5,13.30000019,16.20000076,21.60000038,18.79999924,22.5,18.79999924,1238,270,17,82.0,566,58,373,69,1570,2.1099386,74.4076,0.6938444,7.505809
493,Grevillea,-1.7550637,37.6037422,1,22.89999962,10.30000019,69.59999847,133.3000031,30.60000038,15.80000019,14.80000019,23.29999924,20.89999962,24.29999924,21.0,818,201,1,99.30000305,376,10,327,13,1163,2.0098736,200.69638,0.696465,4.448357
579,Grevillea,-1.4811412,37.3147859,1,19.39999962,10.10000038,70.30000305,127.0,27.0,12.60000038,14.39999962,20.29999924,17.5,20.70000076,17.60000038,1174,277,6,96.30000305,519,21,495,25,1844,3.6305676,86.81343,0.67583513,4.1437926
586,Grevillea,-1.4806805,37.314458,1,19.39999962,10.10000038,70.30000305,127.0,27.0,12.60000038,14.39999962,20.29999924,17.5,20.70000076,17.60000038,1174,277,6,96.30000305,519,21,495,25,1844,3.6305676,86.81343,0.67583513,4.1437926
588,Grevillea,-1.480595,37.3145217,1,19.39999962,10.10000038,70.30000305,127.0,27.0,12.60000038,14.39999962,20.29999924,17.5,20.70000076,17.60000038,1174,277,6,96.30000305,519,21,495,25,1844,3.6305676,86.81343,0.67583513,4.1437926
589,Grevillea,-1.480595,37.314522,1,19.39999962,10.10000038,70.30000305,127.0,27.0,12.60000038,14.39999962,20.29999924,17.5,20.70000076,17.60000038,1174,277,6,96.30000305,519,21,495,25,1844,3.6305676,86.81343,0.67583513,4.1437926
673,Grevillea,-1.1537798,34.4446684,1,22.39999962,11.30000019,81.59999847,51.59999847,29.5,15.60000038,13.89999962,22.5,21.5,23.0,21.70000076,1558,257,53,45.59999847,633,204,396,204,1452,1.1079732,311.7857,0.7206261,4.638717
676,Grevillea,-1.1537747,34.4444831,1,22.39999962,11.30000019,81.59999847,51.59999847,29.5,15.60000038,13.89999962,22.5,21.5,23.0,21.70000076,1558,257,53,45.59999847,633,204,396,204,1452,1.1079732,311.7857,0.7206261,4.638717
678,Grevillea,-1.1537024,34.4445774,1,22.39999962,11.30000019,81.59999847,51.59999847,29.5,15.60000038,13.89999962,22.5,21.5,23.0,21.70000076,1558,257,53,45.59999847,633,204,396,204,1452,1.1079732,311.7857,0.7206261,4.638717
679,Grevillea,-1.1536787,34.4447616,1,22.39999962,11.30000019,81.59999847,51.59999847,29.5,15.60000038,13.89999962,22.5,21.5,23.0,21.70000076,1558,257,53,45.59999847,633,204,396,204,1452,1.1079732,311.7857,0.7206261,4.638717
681,Grevillea,-1.1536127,34.444492,1,22.39999962,11.30000019,81.59999847,51.59999847,29.5,15.60000038,13.89999962,22.5,21.5,23.0,21.70000076,1558,257,53,45.59999847,633,204,396,204,1452,1.1079732,311.7857,0.7206261,4.638717
682,Grevillea,-1.1535604,34.4448189,1,22.39999962,11.30000019,81.59999847,51.59999847,29.5,15.60000038,13.89999962,22.5,21.5,23.0,21.70000076,1558,257,53,45.59999847,633,204,396,204,1452,1.1079732,311.7857,0.7206261,4.638717
683,Grevillea,-1.1495481,37.4423216,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
684,Grevillea,-1.1495228,37.4420949,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
688,Grevillea,-1.1494194,37.4423788,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
690,Grevillea,-1.1494111,37.442303,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
691,Grevillea,-1.1493712,37.4423272,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
693,Grevillea,-1.1492852,37.4424442,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
694,Grevillea,-1.149259,37.4423975,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
695,Grevillea,-1.1491898,37.4423652,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
697,Grevillea,-1.1491404,37.4425615,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
698,Grevillea,-1.1491373,37.4425341,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
699,Grevillea,-1.1490628,37.4425105,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
700,Grevillea,-1.1490476,37.4424688,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
701,Grevillea,-1.1490437,37.4422752,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
702,Grevillea,-1.1490089,37.4425152,1,22.60000038,10.60000038,73.69999695,116.5999985,30.20000076,15.80000019,14.39999962,23.70000076,20.79999924,23.79999924,20.89999962,821,202,3,103.9000015,384,11,353,14,1234,1.0207305,27.968758,0.710684,6.66666
