,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
5,Musa,-4.3089696,39.4565392,1,26.70000076,8.0,63.90000153,155.3999939,33.09999847,20.60000038,12.5,26.20000076,28.0,28.5,24.70000076,1249,283,21,73.40000153,618,126,132,227,133,0.799387,81.0508,0.70123225,5.3706846
6,Musa,-4.2955492,39.4398417,1,26.20000076,7.800000191,64.30000305,150.6000061,32.40000153,20.29999924,12.10000038,25.79999924,27.39999962,27.89999962,24.20000076,1224,262,19,68.30000305,580,131,132,227,189,2.2646062,263.89554,0.72409874,3.9234524
8,Musa,-4.2954878,39.4423249,1,26.0,7.900000095,64.0,152.1000061,32.29999924,20.0,12.30000019,25.60000038,27.29999924,27.70000076,24.10000038,1248,265,22,67.80000305,588,141,144,223,227,1.1682981,140.49965,0.6926088,4.5856876
9,Musa,-4.0765856,39.4119583,1,26.0,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
10,Musa,-4.0765548,39.4119787,1,26.0,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
12,Musa,-4.0765105,39.4119801,1,26.0,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
13,Musa,-4.0764864,39.4119135,1,26.0,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
14,Musa,-4.076391,39.4121397,1,26.0,8.699999809,65.19999695,150.1999969,32.90000153,19.60000038,13.30000019,27.10000038,27.89999962,27.70000076,24.10000038,929,167,24,52.90000153,369,124,124,170,240,0.4275487,358.96274,0.71088505,5.5910425
26,Musa,-3.9912602,39.5944562,1,27.5,8.300000191,65.80000305,147.6000061,34.0,21.39999962,12.60000038,27.20000076,29.20000076,29.20000076,25.60000038,1217,278,21,72.19999695,590,135,317,209,18,0.4701528,107.31148,0.7019452,8.021778
27,Musa,-3.991225,39.5944993,1,27.5,8.300000191,65.80000305,147.6000061,34.0,21.39999962,12.60000038,27.20000076,29.20000076,29.20000076,25.60000038,1217,278,21,72.19999695,590,135,317,209,18,0.4701528,107.31148,0.7019452,8.021778
28,Musa,-3.9911765,39.594614,1,27.5,8.300000191,65.80000305,147.6000061,34.0,21.39999962,12.60000038,27.20000076,29.20000076,29.20000076,25.60000038,1217,278,21,72.19999695,590,135,317,209,18,0.4701528,107.31148,0.7019452,8.021778
